Total found by value, Total not found by value, Total not changed
67,54,0

Not found deatails
sourceMappingKey,Property,Value
QuickCallPanel.CallMultiplePeople,text,""
call_window_dial_pad_number_1,text,"1"
call_window_dial_pad_number_1,accessibility_id,"1"
call_window_select_participants,text,"Select participants"
call_window_accept_audio_call,text,""
call_window_accept_audio_call,accessibility_id,"Answer call from {0} with voice only"
call_window_accept_video_call,text,""
call_window_accept_video_call,accessibility_id,"Answer call from {0} with video"
call_window_reject_call,text,""
call_window_menu_hang_up,text,""
CallControls.CallButtonMute,text,""
CallControls.CallButtonUnmuteAccessibilityLabel,text,""
CallControls.CallButtonTurnOffVideoAccessibilityLabel,text,""
CallControls.CallButtonTurnOnVideoAccessibilityLabel,text,""
capture_window_captured_picture_draw,text,""
capture_window_captured_picture_draw,accessibility_id,"Pen draw with ink."
CapturePanel.MediaPickerAccessibilityLabel,text,""
MyHighlightsPanel.Title,text,"Manage Highlights"
capture_window_send_message,text,""
capture_window_send_message,accessibility_id,"Send to {0}"
CapturePreview.HighlightsAccessibilityLabel,text,""
chat_window_user_offline,text,"Offline"
chat_window_user_away,text,"Away"
chat_window_add_emoticon,text,""
chat_window_open_location_window,text,""
chat_window_open_moji_window,text,""
highlights_window_my_followers,text,"My Followers"
HubHeaderPanel.MyHighlightsButtonLabel,text,""
location_window_search_places,text,""
location_window_share_location,text,""
login_window_account_failure,accessibility_id,"There was an issue looking up your account. Tap Next to try again."
login_window_terms_of_use,text,"Enter password"
login_window_sign_in_button,text,"Sign in"
login_window_sign_in_button,accessibility_id,"Sign in"
main_skip_tutorial,text,"Got it, let’s go!"
main_skip_tutorial,accessibility_id,"Let’s go!"
main_username,text,"Email, phone, or Skype name"
main_username,accessibility_id,"Email, phone, or Skype name"
main_password,text,"Password"
main_password,accessibility_id,"Password"
main_window_capture_tab,accessibility_id,"Capture Tab. 3 of 3."
main_window_send_feedback,text,""
main_window_new_conversation_new_group,xpath,"//*[contains(@text,'New Group')]"
main_window_new_conversation_new_chat,xpath,"//*[contains(@text,'New Chat')]"
main_window_new_conversation_add_contact,xpath,"//*[contains(@text,'Invite People to Skype')]"
main_window_new_conversation_add_bot,xpath,"//*[contains(@text,'Find Bots')]"
main_window_action_menu_start_call,text,"Start a call"
main_window_action_menu_start_call,accessibility_id,"Start a call"
main_window_action_menu_start_call,xpath,"//*[contains(@text,'Start a call')]"
main_window_hightlights_tab,accessibility_id,"No new highlights. Tab. 1 of 3."
SearchInputControl.ClearTextAccessibilityLabel,text,""
main_window_new_conversation_name_group,accessibility_id,"Chat Name: null"
my_highlights_confirm_upload_successful,text,".*minutes.*|.*minute ago.*|.*Just now.*"
no_internet_pre_login,text,"Unable to sign in, please check your internet connection and try again."

Not changed deatails
sourceMappingKey,Property,Value
